Input,Target,Prediction
youth to mother birth with gives of heart god great,mother gives birth to youth with heart of great god,mother gives birth to youth with heart of great god
the youth in of mother of placenta house stay beautiful,placenta of mother stay in the house of beautiful youth,placenta of mother stay in the house of beautiful youth
handle emerge basket and brick snake behind with from cobra,cobra and snake emerge from basket with handle behind brick,cobra and snake emerge from basket with handle behind brick
sees ka beautiful of youth heart face mother spirit of,spirit ka of mother sees beautiful face of youth heart,spirit ka of mother sees beautiful face of youth heart
behind cobra viper the horned brick wall and hide stone,horned viper and cobra hide behind the stone brick wall,horned viper and cobra hide behind the stone brick wall
birth to gives beautiful hill desert god above youth great,great god gives birth to beautiful youth above desert hill,great god gives birth to beautiful youth above desert hill
stay bird of of head the with god mighty authority,mighty authority of god stay with the head of bird,mighty authority of god stay with the head of bird
mighty the riverbank lord above stay road authority of the,mighty authority of the lord stay above the riverbank road,mighty authority of the lord stay above the riverbank road
near lotus in gate water plant of temple beautiful grow,beautiful lotus plant grow in water near gate of temple,beautiful lotus plant grow in water near gate of temple
adze to door fix of bolt the use house man,man use adze to fix the door bolt of house,man use adze to fix the door bolt of house
power reed authority scroll papyrus book scribe writing thing leaf scribe /,scribe writing / scribe papyrus scroll reed leaf book authority power thing,papyrus scroll writing / scribe book thing authority power life
scribe writing reed scroll authority leaf papyrus scribe book / power thing,scribe writing / scribe papyrus scroll reed leaf book authority power thing,scribe writing / scribe papyrus scroll reed leaf book authority power thing
life town do found) is people road / peace authority gate power opens exists (or,gate opens / exists (or is found) road town people do life peace authority power,gate opens / exists (or is found) road town people do life peace authority power
wall and viper cobra under stone horned brick the hide,horned viper and cobra hide under the brick wall stone,horned viper and cobra hide under the brick wall stone
gives god of to youth great heart with birth mother,mother gives birth to youth with heart of great god,mother gives birth to youth with heart of great god
gives authority god throne life king power (ankh),god gives life (ankh) power authority king throne,god gives life (ankh) power authority king throne
twisted three fox flax of with servant tie hand skins,hand of servant tie three fox skins with twisted flax,hand of servant tie three fox skins with twisted flax
the stay authority of with power of mighty life lord,mighty power of authority stay with the lord of life,mighty power of authority stay with the lord of life
from soul emerge body sky upon / face (ba) star west,soul (ba) emerge from body face / upon sky star west,soul (ba) emerge from body face / upon sky star west
great youth desert hill beautiful birth to above god gives,great god gives birth to beautiful youth above desert hill,great god gives birth to beautiful youth above desert hill
beautiful three fox man to use make skins folded cloth,man use three fox skins to make beautiful folded cloth,man use three fox skins to make beautiful folded cloth
the of the heart mother see youth house in the,mother see the heart of the youth in the house,mother see the heart of the youth in the house
becomes every basket lord city of all great king of,great king of city becomes lord of every basket all,great king of city becomes lord of every basket all
strong near river hoe backbone servant plows and with field,servant plows field near river with hoe and strong backbone,servant plows field near river with hoe and strong backbone
above master strong mighty of desert hill stay the authority,mighty authority of master stay strong above the desert hill,mighty authority of master stay strong above the desert hill
sees heart seated of in god the truth the king,seated god sees the truth in the heart of king,seated god sees the truth in the heart of king
soul of like father mountain fly swallow to ba the,soul ba of father fly like swallow to the mountain,soul ba of father fly like swallow to the mountain
house in youth the mother heart the of the see,mother see the heart of the youth in the house,mother see the heart of the youth in the house
great scribe authority do thing / papyrus life scroll reed writing book / power leaf big,writing / scribe do papyrus scroll reed leaf book thing power authority great / big life,writing / scribe do papyrus scroll reed leaf book thing power authority great / big life
carry conical servant the temple loaf the to altar stone,servant carry the conical loaf to the stone temple altar,servant carry the conical loaf to the stone temple altar
in and basket with hide cobra horned the handle viper,cobra and horned viper hide in the basket with handle,horned viper and cobra hide in the basket with handle
the fly to ba soul of hill the desert father,soul ba of the father fly to the desert hill,soul ba of the father fly to the desert hill
of bird to like ba people the soul fly sky,soul ba of people fly to the sky like bird,soul ba of the people fly like bird to sky
door viper brick and bolt behind hide cobra horned the,horned viper and cobra hide behind the door bolt brick,horned viper and cobra hide behind the door bolt brick
in the of the the mother house see placenta youth,mother see the placenta of the youth in the house,mother see the placenta of the youth in the house
like soul ba the the horizon swallow fly above bird,swallow bird fly above the horizon like the soul ba,swallow bird fly above the horizon like the soul ba
from drink sweet milk man the milk old vessel jar,old man drink sweet milk from the milk jar vessel,old man drink sweet milk from the milk jar vessel
star bird like to above fly horizon swallow soul become,swallow bird fly above horizon like soul to become star,swallow bird fly above horizon like soul to become star
become underground sky soul horizon power to (ba) ka (spirit) west life star,ka (spirit) soul (ba) life to become west underground star sky horizon power,ka (spirit) soul (ba) life to become west underground star sky horizon power
beautiful fox use make skins three to man folded cloth,man use three fox skins to make beautiful folded cloth,man use three fox skins to make beautiful folded cloth
scribe authority leaf writing / book power papyrus scribe reed scroll thing,scribe writing / scribe papyrus scroll reed leaf book authority power thing,scribe writing / scribe papyrus scroll reed leaf book authority power thing
seated river beautiful in plant the lotus woman the loves,seated woman loves the beautiful lotus plant in the river,seated woman loves the beautiful lotus plant in the river
with the field hoe man near plows mountain the old,old man with hoe plows the field near the mountain,old man with hoe plows the field near the mountain
god desert stay the above hill of great mighty authority,mighty authority of god stay above the great desert hill,mighty authority of god stay above the great desert hill
of become gate people every for to opens city lord,lord of every city opens gate for people to become,lord of every city opens gate for people to become
belly the and animal stay on altar side rib offering,side rib and animal belly stay on the offering altar,animal belly and side rib stay on the offering altar
writing mouth hear of of and scribe law do people,scribe hear mouth of people and do writing of law,scribe hear mouth of people and do writing of law
temple man the drink milk jar in sweet old from,old man drink sweet milk from the jar in temple,old man drink sweet milk from the jar in temple
give djed the stability woman lord of to seated life,lord of life give stability djed to the seated woman,lord of life give stability djed to the seated woman
plant in grow temple gate beautiful near water lotus of,beautiful lotus plant grow in water near gate of temple,beautiful lotus plant grow in water near gate of temple
opens good exists sweet / peace life / satisfy house found) people (or beautiful / shelter is reed gate heart,reed shelter house gate opens / exists (or is found) people life peace / satisfy sweet heart beautiful / good,reed shelter house gate opens / exists (or is found) people life peace / satisfy sweet heart beautiful / good
in for do hear scribe god and truth writing temple,scribe hear truth and do writing for god in temple,scribe hear truth and do writing for god in temple
make use adze throne to chisel man the seat and,man use adze and chisel to make the seat throne,man use adze and chisel to make the seat throne
belly rib animal the viper horned in hide of side,horned viper hide in the side rib of animal belly,horned viper hide in the side rib of animal belly
ankh beautiful life father child in venerated give house to,venerated father give life ankh to beautiful child in house,venerated father give life ankh to beautiful child in house
lotus papyrus the clump lake water and grow plant near,lotus plant and papyrus clump grow near the lake water,lotus plant and papyrus clump grow near the lake water
all basket city becomes king great lord every of of,great king of city becomes lord of every basket all,great king of city becomes lord of every basket all
gate soul king opens horizon ba of of great for,gate of horizon opens for soul ba of great king,gate of horizon opens for soul ba of great king
every man heart woman of and master venerated the hear,venerated master hear the heart of every man and woman,venerated master hear the heart of every man and woman
gate life woman house (satisfied) peace content woman bolt love door seated /,woman seated woman house gate door bolt life love peace / content (satisfied),woman seated woman house gate door bolt life love peace / content (satisfied)
animal stay of side rib the altar on stone the,side rib of the animal stay on the stone altar,side rib of the animal stay on the stone altar
mat stool place servant loaf hand on the conical of,hand of servant place the conical loaf on stool mat,hand of servant place the conical loaf on stool mat
above bird hill chick quail fly and swallow slope desert,quail chick and swallow bird fly above desert hill slope,quail chick and swallow bird fly above desert hill slope
and the milk beautiful loves woman seated lotus plant the,seated woman loves the beautiful lotus plant and the milk,seated woman loves the beautiful lotus plant and the milk
the father desert venerated the star sees slope hill above,venerated father sees the star above the desert hill slope,venerated father sees the star above the desert hill slope
(or found) / people enter gate exists is peace opens house,house gate opens / exists (or is found) people enter peace,house gate opens / exists (or is found) people enter peace
and town light give to city star underground and sky,star and sky give light to city and town underground,star and sky give light to city and town underground
of back the fox the on stay skins three servant,three fox skins stay on the back of the servant,three fox skins stay on the back of the servant
the king hand of the great authority hold of town,hand of king hold the authority of the great town,hand of king hold the authority of the great town
opens authority found) peace road town life (or exists / power gate is do people,gate opens / exists (or is found) road town people do life peace authority power,gate opens / exists (or is found) road town people do life peace authority power
ba slope above great mountain fly the soul father of,soul ba of father fly above the great mountain slope,soul ba of father fly above the great mountain slope
hand / / do power chisel authority great cross cut big force stone strength,cross cut stone chisel do hand strength / force power great / big authority,cross cut stone chisel do hand strength / force power great / big authority
sees the seated god truth heart of king the in,seated god sees the truth in the heart of king,seated god sees the truth in the heart of king
beautiful lotus seated star plant and loves the woman the,seated woman loves the beautiful lotus plant and the star,seated woman loves the beautiful lotus plant and the star
listen law power / sees authority fear hear people king,king sees people hear / listen fear power authority law,king sees people hear / listen fear power authority law
he king power god people king town seated stability / throne authority (djed) /,he / king seated god / king throne authority power people town stability (djed),he / king seated god / king throne authority power people town stability (djed)
/ people / good beautiful (or reed opens heart shelter life found) house / peace is satisfy exists gate sweet,reed shelter house gate opens / exists (or is found) people life peace / satisfy sweet heart beautiful / good,reed shelter house gate opens / exists (or is found) people life peace / satisfy sweet heart beautiful / good
storm great desert hill the above sky dark the make,great storm above the desert hill make the sky dark,great storm above the desert hill make the sky dark
altar of bread on offering stone hand of do king,hand of king do offering of bread on stone altar,hand of king do offering of bread on stone altar
milk of do servant of jar god altar on offering,servant of god do offering of milk jar on altar,servant of god do offering of milk jar on altar
servant the jar carry milk old and bread man to,servant carry milk jar and bread to the old man,servant carry milk jar and bread to the old man
do of for writing king scribe of hand truth the,hand of scribe do writing of truth for the king,hand of scribe do writing of truth for the king
of grain plows with and man becomes master hoe field,man with hoe plows field and becomes master of grain,man with hoe plows field and becomes master of grain
lord seated for town do offering the of every god,lord of every town do offering for the seated god,lord of every town do offering for the seated god
begets (satisfied) deity god (ankh) peace / / city gives authority / birth people power temple great / town mighty content / life,god / deity gives birth / begets life (ankh) people city / town temple authority power great / mighty peace / content (satisfied,god / deity gives birth / begets life (ankh) people city / town temple authority power great / mighty peace / content (satisf
no hide of god man from can negation eye the,negation no man can hide from the eye of god,negation no man can hide from the eye of god
become king lord to city power great of use master,great king of city use power to become master lord,great king of city use power to become master lord
hide door behind and viper horned cobra bolt gate the,horned viper and cobra hide behind the door bolt gate,horned viper and cobra hide behind the door bolt gate
great king for of soul of gate ba opens horizon,gate of horizon opens for soul ba of great king,gate of horizon opens for soul ba of great king
king writing hear and scribe throne truth on do for,scribe hear truth and do writing for king on throne,scribe hear truth and do writing for king on throne
mother of venerated house in the voice hear stone father,venerated father hear voice of mother in the stone house,venerated father hear voice of mother in the stone house
fly bird people like to the soul of sky ba,soul ba of people fly to the sky like bird,soul ba of the people fly like bird to sky
the reed the carry and shelter to loaf servant jar,servant carry the jar and loaf to the reed shelter,servant carry the jar and loaf to the reed shelter
lotus in lake light plant the in sky become beautiful,lotus plant in lake become beautiful in the sky light,lotus plant in lake become beautiful in the sky light
face mother heart ka of youth spirit beautiful of sees,spirit ka of mother sees beautiful face of youth heart,spirit ka of mother sees beautiful face of youth heart
give every lord of djed people town stability to the,lord of every town give stability djed to the people,lord of every town give stability djed to the people
people city seated throne temple power / king town holds authority,seated king holds authority power throne temple people city / town,seated king holds authority power throne temple people city / town
peace seated to lord the every woman of give town,lord of every town give peace to the seated woman,lord of every town give peace to the seated woman
life / to (lord altar authority basket give every lord god offering all) power / temple / peace,basket (lord / all) lord / every offering to give temple god peace / altar life power authority,basket (lord / all) lord / every offering to give temple god peace / altar life power authority
/ deity horizon / life sky (ankh) god big emerges power great,god / deity emerges horizon sky life (ankh) power great / big,god / deity emerges horizon sky life (ankh) power great / big
the drink old jar from and milk milk woman man,old man and woman drink milk from the milk jar,old man and woman drink milk from the milk jar
milk woman seated the vessel sweet jar milk drink from,seated woman drink sweet milk from the milk jar vessel,seated woman drink sweet milk from the milk jar vessel
hand big / house servant peace people power great do life authority,servant people house do hand life power authority peace great / big,servant people house do hand life power authority peace great / big
field the man hoe with lake near the plows strong,strong man with the hoe plows the field near lake,strong man with the hoe plows the field near lake
drink of loaf man / water speak / eat / bread ripple satisfy milk peace jar,man eat / drink / speak loaf of bread milk jar water ripple peace / satisfy,man eat / drink / speak loaf of bread milk jar water ripple peace / satisfy
stay of gate the authority temple lord above wall mighty,mighty authority of lord stay above the temple wall gate,mighty authority of lord stay above the temple wall gate
the lotus near water grow clump plant and papyrus lake,lotus plant and papyrus clump grow near the lake water,lotus plant and papyrus clump grow near the lake water
mat house (satisfied) / peace life rest stool heart seated man content /,stool / mat seated man rest peace / content (satisfied) life house heart,stool / mat seated man rest peace / content (satisfied) life house heart
hold tethering gate rope vessel town the the of near,tethering rope hold the vessel near the gate of town,tethering rope hold the vessel near the gate of town
servant of hand field measure hold the flax to twisted,hand of servant hold twisted flax to measure the field,hand of servant hold twisted flax to measure the field
mother of to the ka beautiful love give spirit youth,spirit ka of mother give love to the beautiful youth,spirit ka of mother give love to the beautiful youth
god hand servant jar carry to the of milk seated,hand of servant carry milk jar to the seated god,hand of servant carry milk jar to the seated god
speak satisfy / peace house eat god offering life drink heart / / (no/not) negation people do,negation (no/not) do eat / drink / speak offering life peace / satisfy heart people house god,negation (no/not) do eat / drink / speak offering life peace / satisfy heart people house god
rib hide belly viper horned of in animal side the,horned viper hide in the side rib of animal belly,horned viper hide in the side rib of animal belly
power strength star sky fear / mountain hill desert horizon force,mountain desert hill horizon sky star fear power strength / force,mountain desert hill horizon sky star fear power strength / force
/ god fox fear force strength gate / great authority three skins house life mighty power,three fox skins fear power strength / force god house gate life authority great / mighty,three fox skins fear power strength / force god house gate life authority great / mighty
milk sweet and man youth the from drink old jar,old man and youth drink sweet milk from the jar,old man and youth drink sweet milk from the jar
the riverbank the tethering road hold vessel rope stone near,tethering rope hold the vessel near the riverbank road stone,tethering rope hold the vessel near the riverbank road stone
loves and star plant beautiful the lotus the seated woman,seated woman loves the beautiful lotus plant and the star,seated woman loves the beautiful lotus plant and the star
fear people protection cobra strength house snake gate power life force /,cobra snake fear power protection house gate people life strength / force,cobra snake fear power protection house gate people life strength / force
on great vessel to the carry the water grain city,vessel on the water carry grain to the great city,vessel on the water carry grain to the great city
in spirit ka strong master of the house stay life,spirit ka of master stay strong in the house life,spirit ka of master stay strong in the house life
riverbank near mother earth road give to the placenta the,mother give placenta to the earth near the riverbank road,mother give placenta to the earth near the riverbank road
to milk servant jar king and carry the conical loaf,servant carry milk jar and conical loaf to the king,servant carry milk jar and conical loaf to the king
give on with to order king strong backbone throne servant,king on throne give order to servant with strong backbone,king on throne give order to servant with strong backbone
hold clump vessel the papyrus near water rope tethering the,tethering rope hold the vessel near the papyrus clump water,tethering rope hold the vessel near the papyrus clump water
to lock use door lord of house servant the bolt,servant use door bolt to lock the house of lord,servant use door bolt to lock the house of lord
people king / king / seated throne authority power town stability god he (djed),he / king seated god / king throne authority power people town stability (djed),he / king seated god / king throne authority power people town stability (djed)
birth to the great the throne law king on gives,great king on the throne gives birth to the law,great king on the throne gives birth to the law
great power / sky soul west to retreat star life (ba) return to become underground,soul (ba) to return / retreat west underground star sky life to become power great,soul (ba) to return / retreat west underground star sky life to become power great
chisel with hand stone writing scribe do on and great,great scribe do writing on stone with chisel and hand,great scribe do writing on stone with chisel and hand
offering hand give peace gives / altar loaf to of temple god bread,hand gives to give loaf of bread offering temple god peace / altar,hand gives to give loaf of bread offering temple god peace / altar
mouth of of law and people writing hear scribe do,scribe hear mouth of people and do writing of law,scribe hear mouth of people and do writing of law
of venerated father the voice ba lake soul near hear,venerated father hear voice of soul ba near the lake,venerated father hear voice of soul ba near the lake
