Input,Target,Prediction
of a father loaf a bread gives now,a father gives a loaf of bread now,a father gives a loaf of bread now
respect peace love mother and youth daily teaches,mother teaches youth love peace and respect daily,mother teaches youth love peace and respect daily
over a reed swallow flies shelter green the,a swallow flies over the green reed shelter,a swallow flies over the green reed shelter
lotus plant in the bank river a grows,a lotus plant grows in the river bank,a lotus plant grows in the river bank
authority people man leads the with city a,a man with authority leads the city people,a man with authority leads the city people
the morning water lotus plant opens the in,the lotus plant opens in the morning water,the lotus plant opens in the morning water
with man the great speaks master old the,the old man speaks with the great master,the old man speaks with the great master
and with temple firm stability stands power,temple stands firm with stability and power,temple stands firm with stability and power
the great flows to west river the side,the great river flows to the west side,the great river flows to the west side
fire of the gives great the sun power,the great power of the sun gives fire,the great power of the sun gives fire
of is the good youth a very heart,the heart of a youth is very good,the heart of a youth is very good
the finds sky the path ka to spirit,the spirit ka finds the path to sky,the spirit ka finds the path to sky
swallow a over flies wall high city the,a swallow flies over the high city wall,a swallow flies over the high city wall
upon sits gold the of seat king the,the king sits upon the seat of gold,the king sits upon the seat of gold
a a gate the youth stone finds near,a youth finds a stone near the gate,a youth finds a stone near the gate
walks the peace old road to man the,the old man walks the road to peace,the old man walks the road to peace
life light and emerges horizon at god bringing,god emerges at horizon bringing light and life,god emerges at horizon bringing light and life
king scribe the speaks the word the of,the scribe speaks the word of the king,the scribe speaks the word of the king
sky beneath filled star woman night stands,woman stands beneath star filled night sky,woman stands beneath star filled night sky
is backbone very father of the strong the,the backbone of the father is very strong,the backbone of the father is very strong
heart the a man of sweet very is,the heart of a man is very sweet,the heart of a man is very sweet
carries a in vessel servant the a rack,a servant carries the vessel in a rack,a servant carries the vessel in a rack
a finds upon the king stone throne peace,a king finds peace upon the stone throne,a king finds peace upon the stone throne
god the horizon becomes in a a star,a star becomes a god in the horizon,a star becomes a god in the horizon
in fish water a the thousand swim blue,a thousand fish swim in the blue water,a thousand fish swim in the blue water
things all of very is the master content,the master of all things is very content,the master of all things is very content
authority walks on beside reflecting king river,king walks beside river reflecting on authority,king walks beside river reflecting on authority
a to daughter strong birth mother the gives,the mother gives birth to a strong daughter,the mother gives birth to a strong daughter
strength the venerated is the of man marrow,the venerated marrow is the strength of man,the venerated marrow is the strength of man
child gives to beautiful mother a birth the,the mother gives birth to a beautiful child,the mother gives birth to a beautiful child
west the emerges sky great the storm from,the great storm emerges from the west sky,the great storm emerges from the west sky
lord souls of the all sky sees the,the lord of all souls sees the sky,the lord of all souls sees the sky
on is belly animal the seen stone the,the animal belly is seen on the stone,the animal belly is seen on the stone
stone block today man quietly adze beside sharpens,man sharpens adze beside stone block quietly today,man sharpens adze beside stone block quietly today
the speaks the to king scribe seated today,the scribe speaks to the seated king today,the scribe speaks to the seated king today
stool scribe sacred on writing words sits,scribe sits on stool writing sacred words,scribe sits on stool writing sacred words
a with the mirror truth sees a woman,a woman with a mirror sees the truth,a woman with a mirror sees the truth
the of sun the power light great gives,the great power of the sun gives light,the great power of the sun gives light
the on cold is belly animal the sand,the animal belly is cold on the sand,the animal belly is cold on the sand
all the world things sees lord the of,the lord of all things sees the world,the lord of all things sees the world
the the gate temple high swallow flies over,the swallow flies over the high temple gate,the swallow flies over the high temple gate
a youth the of heart very sweet is,the heart of a youth is very sweet,the heart of a youth is very sweet
papyrus through cobra the clump thick moves the,the cobra moves through the thick papyrus clump,the cobra moves through the thick papyrus clump
a the of hears woman voice the mother,a woman hears the voice of the mother,a woman hears the voice of the mother
field hears woman in bird the the a,a woman hears the bird in the field,a woman hears the bird in the field
papyrus temple on offerings scroll records inside scribe,scribe records offerings on papyrus scroll inside temple,scribe records offerings on papyrus scroll scroll inside temple
scribe chisel on a the throne uses a,a scribe uses a chisel on the throne,a scribe uses a chisel on the throne
the finds of great things all lord content,the lord of all things finds great content,the lord of all things finds great content
today upon a mat stool scribe the sits,a scribe sits upon the stool mat today,a scribe sits upon the stool mat today
land great the moves across the storm west,the great storm moves across the west land,the great storm moves across the west land
with a sees woman the truth mirror a,a woman with a mirror sees the truth,a woman with a mirror sees the truth
in life town people birth god gives to,god gives birth life to people in town,god gives birth life to people in town
great moves the sky across the storm west,the great storm moves across the west sky,the great storm moves across the west sky
desert during storm beneath shelters man hut reed,man shelters beneath reed hut during desert storm,man shelters beneath reed hut during desert storm
people the the hears of voice scribe the,the scribe hears the voice of the people,the scribe hears the voice of the people
stars shine desert thousand hill the above a,a thousand stars shine above the desert hill,a thousand stars shine above the desert hill
with a sickle the man cuts plant a,a man with a sickle cuts the plant,a man with a sickle cuts the plant
the the things of all master field sees,the master of all things sees the field,the master of all things sees the field
the mountain side spirit emerges from the ka,the spirit ka emerges from the mountain side,the spirit ka emerges from the mountain side
in a sand bolt youth finds the door,a youth finds the door bolt in sand,a youth finds the door bolt in sand
house the life the ka remains spirit in,the spirit ka remains in the house life,the spirit ka remains in the house life
in the god woman the hears temple a,a woman hears the god in the temple,a woman hears the god in the temple
the king power to city a great gives,a king gives power to the great city,a king gives power to the great city
studies fire papyrus scroll light calmly scribe by,scribe studies papyrus scroll by fire light calmly,scribe studies papyrus scroll scroll by fire light calmly
servant carries grain the to city a town,a servant carries grain to the city town,a servant carries grain to the city town
above the gate temple is a great star,a star is above the great temple gate,a star is above the great temple gate
birth the a child goddess to gives beautiful,the goddess gives birth to a beautiful child,the goddess gives birth to a beautiful child
very woman of is good heart a the,the heart of a woman is very good,the heart of a woman is very good
in a grows lotus river the beautiful plant,a beautiful lotus plant grows in the river,a beautiful lotus plant grows in the river
the emerges star a city above town high,a star emerges above the high city town,a star emerges above the high city town
calmly riverbank road follows west toward woman,woman follows riverbank road toward west calmly,woman follows riverbank road toward west calmly
a sits papyrus bird on beautiful the clump,a beautiful bird sits on the papyrus clump,a beautiful bird sits on the papyrus clump
with handle woman basket house carries to,woman carries basket with handle to house,woman carries basket with handle to house
near road sees town crossing suddenly cobra man,man sees cobra crossing road near town suddenly,man sees cobra crossing road near town suddenly
carries servant jars in rack a a the,a servant carries the jars in a rack,a servant carries the jars in a rack
house youth town scribe teaches inside to writing,scribe teaches writing to youth inside town house,scribe teaches writing house inside town house
king the sits seat upon a of stone,a king sits upon the seat of stone,a king sits upon the seat of stone
authority great king with from emerges palace,king emerges from palace with great authority,king emerges from palace with great authority
hill people great horizon desert sky see above,people see horizon above desert hill sky great,people see horizon above desert hill sky great
night guards at cobra gate desert temple,cobra guards temple gate at desert night,cobra guards temple gate at desert night
