epoch,train_loss,val_loss,bleu,cosine
1,0.5355983050016875,0.05568355190033409,0.9125465942107863,0.98977715
2,0.11806049724894294,0.030091031562083766,0.9488872429123391,0.9944196
3,0.06105709107948488,0.01573580414878961,0.964461008377411,0.99641764
4,0.046102600255876446,0.01837522022054015,0.9675059235025445,0.9973107
5,0.03179147038451825,0.016281446837963034,0.9787887397145799,0.99837434
6,0.029570304879426874,0.01850472762207898,0.9798487969638259,0.99799275
7,0.030418428721094733,0.009199720731040932,0.9880177112632957,0.9988922
8,0.018662929273958663,0.009168680398163685,0.9849038055945204,0.9984038
9,0.019293568246171212,0.007792448521594711,0.9878174967558053,0.99937564
10,0.01607478061773333,0.00728182788738455,0.9850491304000657,0.9988503
11,0.01709311079767564,0.010573475876039342,0.9850178203542815,0.99876183
12,0.01650119101474313,0.006262949289756696,0.9855054348503541,0.99841064
13,0.016321467008870723,0.012141210925481769,0.9800910027520592,0.99683475
14,0.013626778523079277,0.00887431854822905,0.9853898637268022,0.99737746
15,0.012899743225503964,0.007677630475435697,0.9856500606948766,0.998485
16,0.012261891670085574,0.007953279885238576,0.9844764969974734,0.99804246
17,0.010575676431520999,0.009571583644775014,0.984298005980778,0.9979789
18,0.013303570128065597,0.007292782156590809,0.9908627789378751,0.99890125
19,0.009965104778252118,0.00791386916897149,0.9899234458116918,0.9989217
20,0.011521112909861003,0.007211834967969415,0.9895368962724862,0.9992026
21,0.011613123739328565,0.019628253323454765,0.964958330760132,0.9942972
22,0.019319192057225612,0.013121730438976036,0.9888518773128316,0.9989895
23,0.008450007885861279,0.00569842617393793,0.9885832746806164,0.99906516
24,0.007468492919046123,0.0059745636227392296,0.9890860184247885,0.99861217
25,0.008109875071729701,0.005528684968510333,0.989599793546885,0.99892044
26,0.007246372664520279,0.0039042979198435595,0.991621547893983,0.9994703
27,0.00811337069618899,0.005062974426985127,0.9898861755375767,0.99852514
28,0.007705675287499535,0.0062596346477984555,0.9801017096950613,0.998257
29,0.008772985082588308,0.004992912279444032,0.9863801118510194,0.99849224
30,0.013381605221284293,0.006260688187467167,0.9923921685400902,0.99948925
31,0.0066063335010215505,0.004883608432521669,0.9787946578733103,0.9961296
32,0.017392012006371006,0.004457618423608827,0.9916584103516611,0.99953985
33,0.0049349219052417315,0.009654869339205976,0.9909546695338419,0.99946547
34,0.00483656903022339,0.004847780148342703,0.9909949654248371,0.99900955
35,0.006688311121415404,0.00857868753260606,0.9917320746678832,0.99910814
36,0.00508578276463452,0.004790816742444447,0.9923452153112072,0.99933636
37,0.0028618680249217483,0.006217123129259784,0.9928797214906749,0.99935347
38,0.003036385799653166,0.007879976871614807,0.9907659014392344,0.9994489
39,0.006904457613686492,0.008485194298730545,0.9792283815994215,0.9949733
40,0.005709131526253238,0.006255971092098126,0.9896760457832566,0.9987555
41,0.004059677889303754,0.005362295249150455,0.9912567602666608,0.99901986
42,0.003285447592199407,0.00756039106324253,0.9913522824254847,0.99914455
43,0.00707054314428134,0.00863938007293947,0.9853760139599013,0.9987009
44,0.007312567054522629,0.004027834615994509,0.9908885660896866,0.9989872
45,0.0043204708243301665,0.007402129946852044,0.9854056097211632,0.99809086
46,0.005709563222683684,0.007716031547415371,0.987574406008486,0.9980175
47,0.005402147307381455,0.005960126052790267,0.8618181442058122,0.9738454
48,0.005321723519640666,0.009795088830068315,0.9860324227871257,0.9981445
49,0.004063597801155339,0.0066459059181421965,0.9885648348980474,0.998526
50,0.004949617033250096,0.01018013516553294,0.989417803002099,0.9991413
51,0.0043695580916024036,0.004992396886572286,0.9887978309938471,0.99893826
52,0.005540638520753337,0.01174580822696823,0.9809096574466942,0.996451
53,0.00563447860877613,0.007162603079409889,0.9824919548863069,0.997136
54,0.0050355371755828725,0.005498365743181109,0.9858949711670024,0.99822694
55,0.005293139202972832,0.008125740228020309,0.9939336261083648,0.99966234
56,0.00401972978843639,0.010281411287311113,0.9897189213946672,0.9987669
57,0.00359774669890653,0.01470445704698672,0.9915919448823272,0.9995903
58,0.00738738808636861,0.0073868685783874555,0.9898387651167314,0.9991497
59,0.004726045903082828,0.00666968645227785,0.9923913596119198,0.99942887
60,0.004438351523358404,0.008497281101081658,0.9855834367601465,0.9981331
61,0.005011107933007245,0.010298814060165893,0.9891792508248901,0.9985247
62,0.003922373310293613,0.011323269101036917,0.9844422753558426,0.99745685
63,0.003360366851978888,0.013513092121310624,0.988402105583106,0.99854153
64,0.0032181845061887964,0.010813960352158298,0.9907755052920167,0.9990491
65,0.0027596132442074908,0.007328145826034772,0.9912644220044629,0.99894124
66,0.003314116586355677,0.007753108389294994,0.9909183193379905,0.99907756
67,0.0051953851794882865,0.007863940914814651,0.9933779161136863,0.9995787
68,0.003102622668788928,0.007817934287713919,0.9935596082691276,0.9996051
69,0.0033970664153151046,0.007616869389729735,0.9759256563851816,0.99517745
70,0.0031145099472534763,0.008920693146411704,0.9898908689173809,0.99907947
71,0.004031165231322887,0.02112223746579746,0.9886890339047708,0.9983761
72,0.004746921350919508,0.009219046538573496,0.9860638539726727,0.9977897
73,0.0025574090249157575,0.00787954577617102,0.9912714514787383,0.9993652
74,0.0023863500706243082,0.00922182425858052,0.9913334573415334,0.99926966
75,0.004411783416374041,0.008727166991154231,0.989048751671976,0.99859095
76,0.0020210208663873222,0.01031334383862413,0.9840425365418897,0.99774426
77,0.009042383047501594,0.00847364382792242,0.9904103197229348,0.9992097
78,0.002293116298791615,0.0071057149854587874,0.9868412165762968,0.9977702
79,0.002351604481949569,0.0081306828902277,0.9915212706448017,0.99932444
80,0.00048064134467249765,0.01011755609209126,0.9918617101252222,0.9993574
81,0.0011344880390291958,0.00841027969383593,0.9908405899044319,0.99932164
82,0.0039172856146752165,0.008421936020494871,0.9838495368410195,0.9970275
83,0.003735257235798037,0.008851548217502827,0.9775106237132697,0.9959103
84,0.004764190118449539,0.009582229007461609,0.9898844341364483,0.998982
85,0.004181587892558996,0.010998578811994873,0.990588529365925,0.99936646
86,0.001355172447998239,0.008006293556837716,0.9931322468845301,0.9994461
87,0.002370485900510073,0.009349678701253441,0.9902113719724537,0.99924
88,0.001377262493224407,0.009516322509704927,0.9908927409762459,0.9990481
89,0.0016226823232050828,0.007629553253841895,0.9848398106254926,0.99743706
90,0.002111301379349999,0.009098088506952706,0.9874930239640579,0.9988031
91,0.0031315720484813895,0.008493550155987708,0.9920696137584442,0.9992719
92,0.002690868165109861,0.011544856883706498,0.9764400739936413,0.994346
93,0.002258057474762282,0.009408495209282617,0.9924643590732392,0.99930227
94,0.0019616450683990093,0.011497837676313643,0.9929415578632129,0.99932873
95,0.0032944233897968626,0.009875642007800016,0.9738497505687861,0.9950521
96,0.0022354110773408187,0.009696505105467728,0.9910863062022246,0.99927294
97,0.0019757710206678813,0.01401085011659323,0.988034113586887,0.9982848
98,0.0034080747884442817,0.011044753491754631,0.9858177753341378,0.99734354
99,0.004605412611517443,0.009551355731409623,0.9913414011766153,0.99867016
100,0.0012408936538531124,0.010482084940500767,0.9933520229480374,0.99945986
