Input,Target,Prediction
hill slope path,hill slope path,hill slope path
above sky town,sky above town,sky above town
grain vessel fills,grain fills vessel,grain fills vessel
woman hears storm,woman hears storm,woman hears storm
fills (spirit) life ka,life fills ka (spirit),life fills ka (spirit)
hears scribe king,king hears scribe,king hears scribe
coils rope snake,rope coils snake,rope coils snake
lake river near,lake near river,river near lake
gate city protects,gate protects city,gate protects city
/ all (every) master (lord),master (lord) / all (every),master (lord) / all (every)
makes man vessel,man makes vessel,man makes vessel
sees servant desert hill,servant sees desert hill,servant sees desert hill
behind river town,town behind river,town behind river
ripple plant water lotus,lotus plant water ripple,lotus plant water ripple
ripple water upon stone,water ripple upon stone,water ripple upon stone
life to become,to become life,to become life
youth drinks milk jar,youth drinks milk jar,youth drinks milk jar
sees animal man belly,man sees animal belly,man sees animal belly
in star sky,star in sky,star in sky
heart has man,man has heart,man has heart
scribe records writing /,writing / scribe records,writing / scribe records
wears crown king,king wears crown,king wears crown
sky meets horizon,horizon meets sky,horizon meets sky
grain youth eats,youth eats grain,youth eats grain
loves truth heart,heart loves truth,heart loves truth
king gives ring,king gives ring,king gives ring
people hear / listen,hear / listen people,hear / listen people
hears youth authority,youth hears authority,youth hears authority
jar father makes,father makes jar,father makes jar
ka spirit god,ka spirit god,ka spirit god
people house contains,house contains people,house contains people
lake underground above,lake above underground,lake above underground
hand lifts loaf,hand lifts loaf,hand lifts loaf
sees (great) youth swallow,youth sees swallow (great),youth sees swallow (great)
speaks woman seated,seated woman speaks,seated woman speaks
youth man becomes,youth becomes man,youth becomes man
makes fire woman,woman makes fire,woman makes fire
temple truth preserves,temple preserves truth,temple preserves truth
gives jar father,father gives jar,father gives jar
sees woman eye,woman sees eye,woman sees eye
(ankh) upon road life,life (ankh) upon road,life (ankh) upon road
face upon man,man face upon,man face upon
/ side rib backbone,side / rib backbone,side / rib backbone
truth loves god,god loves truth,god loves truth
plant sickle cuts,sickle cuts plant,sickle cuts plant
brick snake behind,snake behind brick,snake behind brick
city has temple,city has temple,city has temple
people protects power,power protects people,power protects people
door bolt gate has,gate has door bolt,gate has door bolt
grows grain field,field grows grain,field grows grain
mighty great / king,great / mighty king,great / mighty king
truth heart loves,heart loves truth,heart loves truth
fear authority respects,fear respects authority,fear respects authority
all) gives / god (lord basket,god gives basket (lord / all),god gives basket (lord / all)
he king gives,he king gives,he king gives
sees papyrus clump scribe,scribe sees papyrus clump,scribe sees papyrus clump
flax twisted man sees,man sees twisted flax,man sees twisted flax
riverbank grain field,riverbank field grain,riverbank field grain
sees book mother,mother sees book,mother sees book
vessel in offering,offering in vessel,offering in vessel
king backbone strong,king strong backbone,king strong backbone
hears youth authority,youth hears authority,youth hears authority
grows field grain,field grows grain,field grows grain
sky above hill,sky above hill,sky above hill
burns fire offering,fire burns offering,fire burns offering
road crosses river,road crosses river,road crosses river
heart life love,heart love life,heart love life
temple / grandfather pillar,pillar / grandfather temple,pillar / grandfather temple
pellet / youth eats grain,youth eats grain / pellet,youth eats grain / pellet
temple horizon faces,temple faces horizon,temple faces horizon
sees night owl,owl sees night,owl sees night
with sees handle servant basket,servant sees basket with handle,servant sees basket with handle
youth seeks strength,youth seeks strength,youth seeks strength
riverbank sees servant,servant sees riverbank,servant sees riverbank
god king becomes,king becomes god,king becomes god
sky eye sees,eye sees sky,eye sees sky
loves authority scribe,scribe loves authority,scribe loves authority
fears youth storm,youth fears storm,youth fears storm
swallow star great,swallow great star,swallow great star
holds jar grain,jar holds grain,jar holds grain
soul hears (ba) mother,mother hears soul (ba),mother hears soul (ba)
foot desert road,foot road desert,foot road desert
to god become,to become god,to become god
offering handle basket with,basket with handle offering,basket with handle offering
sees throne man seated,seated man sees throne,seated man sees throne
holds jar grain,jar holds grain,jar holds grain
town city house,city town house,city town house
scribe sees scroll,scribe sees scroll,scribe sees scroll
with basket gives king handle,king gives basket with handle,king gives basket with handle
to west return,to return west,to return west
creates becoming life,becoming creates life,becoming renews life
father all) makes / (lord basket,father makes basket (lord / all),father makes basket (lord / all)
lake water ripple,lake water ripple,lake water ripple
loaf gives god conical (give),god gives conical loaf (give),god gives conical loaf (give)
youth becomes child,child becomes youth,child becomes youth
sees coil man rope of,man sees coil of rope,man sees coil of rope
milk child drinks,child drinks milk,child drinks milk
board senet played,senet board played,senet board played
temple gives peace,temple gives peace,temple gives peace
handle offering with basket,basket with handle offering,basket with handle offering
youth sees lake,youth sees lake,youth sees lake
opens horizon god,god opens horizon,god opens horizon
strength backbone gives,backbone gives strength,backbone gives strength
old brick makes man,old man makes brick,old man makes brick
deity god great,god deity great,god deity great
man opens door,man opens door,man opens door
horizon face upon /,horizon face / upon,horizon face / upon
renews scarab life,scarab renews life,scarab renews life
power god of,power of god,power of god
senet played board,senet board played,senet board played
/ eats man grain pellet old,old man eats grain / pellet,old man eats grain / pellet
great god mighty,great god mighty,great mighty god
to work do,to do work,to do work
backbone man strong,strong backbone man,strong backbone man
father man loves old,father loves old man,father loves old man
river behind town,town behind river,town behind river
book sees mother,mother sees book,mother sees book
venerated strength marrow /,venerated / marrow strength,venerated / marrow strength
grain jar fills,grain fills jar,grain fills jar
of youth bird head sees,youth sees head of bird,youth sees head of bird
behind wall gate,gate behind wall,gate behind wall
rack in jars jar,jar jars in rack,jar jars in rack
river town beside,river beside town,river beside town
soul ba life,soul ba life,soul ba life
hill path slope,hill slope path,hill slope path
give to life,to give life,to give life
near road house,house near road,house near road
king strong power,strong king power,strong king power
cobra guards king,cobra guards king,cobra guards king
holds book wisdom,book holds wisdom,book holds wisdom
wise old man,old man wise,old man wise
god near temple,god near temple,god near temple
spirit ka god,ka spirit god,god ka spirit
vessel water holds,vessel holds water,vessel holds water
fear people authority,people fear authority,people authority fear
scribe hears god,scribe hears god,scribe hears god
soul ba god,soul ba god,soul ba god
heart peace satisfy /,heart peace / satisfy,heart peace / satisfy
sees mother star,mother sees star,mother sees star
god sees heart,god sees heart,god sees heart
sees chick quail youth,youth sees quail chick,youth sees quail chick
power world shapes,power shapes world,power shapes world
loves life sedge (king) (ankh),sedge (king) loves life (ankh),sedge (king) loves life (ankh)
god protects people,god protects people,god protects people
servant gate makes,servant makes gate,servant makes gate
he / king power,he / king power,he / king power
god hears / father deity,father hears god / deity,father hears god / deity
ancestors underground holds,underground holds ancestors,underground holds ancestors
lake scribe sees,scribe sees lake,scribe sees lake
sees chisel man,man sees chisel,man sees chisel
foot scribe sees,scribe sees foot,scribe sees foot
city town / great big becomes /,city / town becomes great / big,city / town becomes great / big
maintains power order,power maintains order,power maintains order
cobra sees king,king sees cobra,king sees cobra
temple god holds,temple holds god,temple holds god
youth loves sweet,youth loves sweet,youth loves sweet
road behind house,road behind house,road behind house
god hears prayer,god hears prayer,god hears prayer
temple near palace,palace near temple,palace near temple
behind town house,house behind town,house behind town
gate opens town,gate opens town,gate opens town
writing / records life scribe,writing / scribe records life,writing / scribe records life
tethering rope king gives,king gives tethering rope,king gives tethering rope
plant lotus sees scribe,scribe sees lotus plant,scribe sees lotus plant
man pellet grain old / eats,old man eats grain / pellet,old man eats grain / pellet
peace god satisfy /,peace / satisfy god,peace / satisfy god
ankh life plant,plant life ankh,plant life ankh
of king throne,throne of king,throne of king
town behind river,town behind river,town behind river
records life / writing scribe,writing / scribe records life,writing / scribe records life
king cobra crowns,cobra crowns king,cobra crowns king
face god upon,face upon god,god face upon
west holds dead,west holds dead,west holds dead
supports man backbone,backbone supports man,backbone supports man
sky star in,star in sky,star in sky
star sky holds,sky holds star,sky holds star
sees man underground,man sees underground,man sees underground
tethering rope rope,rope tethering rope,rope tethering rope
grandfather stone temple / pillar,stone temple pillar / grandfather,stone temple pillar / grandfather
servant sees folded cloth,servant sees folded cloth,servant sees folded cloth
eats grain youth,youth eats grain,youth eats grain
seated man listens,seated man listens,seated man listens
rope tethering father makes,father makes tethering rope,father makes tethering rope
god prayer hears,god hears prayer,god hears prayer
sees hoe man,man sees hoe,man sees hoe
king power authority,authority power king,authority power king
lives ka double) (the the / spirit,ka (the spirit / the double) lives,ka (the spirit / the double) lives
father sees west,father sees west,father sees west
sky mountain touches,mountain touches sky,mountain touches sky
water ripple man drinks,man drinks water ripple,man drinks water ripple
seated man listens,seated man listens,seated man listens
road star guides,star guides road,star guides road
touches mountain sky,mountain touches sky,mountain touches sky
father speaks truth,father speaks truth,father speaks truth
lotus eats plant man,man eats lotus plant,man eats lotus plant
sees twisted servant flax,servant sees twisted flax,servant sees twisted flax
horizon above sun,sun above horizon,sun above horizon
tills field hoe,hoe tills field,hoe tills field
eye of god,eye of god,eye of god
behind lake mountain,lake behind mountain,lake behind mountain
eye sees / upon face,eye sees face / upon,eye sees face / upon
father life gives,father gives life,father gives life
desert hill behind,hill behind desert,hill behind desert
conical scribe gives (give) loaf,scribe gives conical loaf (give),scribe gives conical loaf (give)
gives ring king,king gives ring,king gives ring
of god eye,eye of god,eye of god
desert surrounds town,desert surrounds town,desert surrounds town
sees scribe scroll papyrus,scribe sees papyrus scroll,scribe sees papyrus scroll
vessel water ripple,vessel water ripple,vessel water ripple
temple builds stone,stone builds temple,stone builds temple
peace gives altar,altar gives peace,altar gives peace
eats drink man,man eats drink,man eats drink
horned viper sees mother,mother sees horned viper,mother sees horned viper
life woman gives,woman gives life,woman gives life
storm of fear,fear of storm,fear of storm
youth pool sees,youth sees pool,youth sees pool
pellet / grain offering,grain / pellet offering,grain / pellet offering
(djed) stability endures,stability (djed) endures,stability (djed) endures
desert mountain behind,desert behind mountain,desert behind mountain
calms peace heart,peace calms heart,peace calms heart
of storm fear,fear of storm,fear of storm
woman cobra hears,woman hears cobra,woman hears cobra
soul hears god,god hears soul,god hears soul
god beautiful / loves good,god loves beautiful / good,god loves beautiful / good
pillar sees / grandfather father,father sees pillar / grandfather,father sees pillar / grandfather
owl hears man,man hears owl,man hears owl
place marks cross,cross marks place,cross marks place
temple found) opens exists / is (or,opens / exists (or is found) temple,opens / exists (or is found) temple
book life recorded,life recorded book,life recorded book
town live people,people live town,people live town
man hand forearm,hand forearm man,hand forearm man
king god becomes,king becomes god,king becomes god
/ great big becomes / town city,city / town becomes great / big,city / town becomes great / big
work do servant,servant do work,servant do work
people above god,god above people,god above people
god sees man,god sees man,god sees man
gives god power,god gives power,god gives power
crown wears king,king wears crown,king wears crown
strong king power,strong king power,strong king power
youth senet board sees,youth sees senet board,youth sees senet board
strong king rules,strong king rules,strong king rules
maat (truth/maat) feather,feather (truth/maat) maat,feather (truth/maat) maat
ring king gives,king gives ring,king gives ring
loves child father,father loves child,father loves child
riverbank king sees,king sees riverbank,king sees riverbank
youth gains strength,youth gains strength,youth gains strength
king loves satisfy peace /,king loves peace / satisfy,king loves peace / satisfy
jar youth sees,youth sees jar,youth sees jar
hill desert near,hill near desert,hill near desert
fire people fear,people fear fire,people fear fire
lake sky reflects,lake reflects sky,lake reflects sky
soul west (ba),soul (ba) west,soul (ba) west
river flows life,life flows river,life flows river
upon temple face,temple face upon,face upon temple
god fear power,fear power god,fear power god
river near riverbank,river near riverbank,river near riverbank
thousand gives god,god gives thousand,god gives thousand
sees youth underground,youth sees underground,youth sees underground
west underground behind,underground behind west,underground behind west
bolt door father makes,father makes door bolt,father makes door bolt
sees god man,god sees man,god sees man
house behind gate,house behind gate,house behind gate
power gives god,god gives power,god gives power
drinks man water,man drinks water,man drinks water
rope binds vessel,rope binds vessel,rope binds vessel
double) soul ka spirit (ba) / the (the,ka (the spirit / the double) soul (ba),ka (the spirit / the double) soul (ba)
sees fire father,father sees fire,father sees fire
makes bolt king door,king makes door bolt,king makes door bolt
soul ba god,soul ba god,soul ba god
temple deity god,temple god deity,temple god deity
stability maat gives,maat gives stability,maat gives stability
jar holds hand,hand holds jar,hand holds jar
sees man star old,old man sees star,old man sees star
near desert mountain,mountain near desert,mountain near desert
tills plows field,field plows tills,plows tills field
lord of town,lord of town,lord of town
town people city,city town people,city town people
of makes father rope coil,father makes coil of rope,father makes coil of rope
god thousand gives,god gives thousand,god gives thousand
cobra guards king,cobra guards king,cobra guards king
woman storm hears,woman hears storm,woman hears storm
becomes life great,life becomes great,life becomes great
youth seeks strength,youth seeks strength,youth seeks strength
life become scarab,scarab become life,scarab become life
bird of head sees man,man sees head of bird,man sees head of bird
sees scribe foot,scribe sees foot,scribe sees foot
mighty power great,power great mighty,power great mighty
exists / is (or temple opens found),opens / exists (or is found) temple,opens / exists (or is found) temple
near road house,house near road,house near road
authority obey people,people obey authority,people obey authority
man eats bread,man eats bread,man eats bread
stored grain jars,grain stored jars,grain stored jars
horned sees viper mother,mother sees horned viper,mother sees horned viper
old youth man,old man youth,old man youth
meets river lake,river meets lake,river meets lake
hill beyond desert,desert beyond hill,desert beyond hill
road crosses desert,road crosses desert,road crosses desert
king sees backbone,king sees backbone,king sees backbone
grain pellet mother sees /,mother sees grain / pellet,mother sees grain / pellet
beyond west underground,underground beyond west,underground beyond west
fire people fear,people fear fire,people fear fire
deity hears / scribe god,scribe hears god / deity,scribe hears god / deity
king order maintains,king maintains order,king maintains order
(truth/maat) feather heart,feather (truth/maat) heart,heart feather (truth/maat)
hears scribe (every) master (lord) all /,scribe hears master (lord) / all (every),scribe hears master (lord) / all (every)
recorded life book,life recorded book,life recorded book
youth loves man old,youth loves old man,youth loves old man
throne seat deity /,seat / throne deity,seat / throne deity
sees father viper horned,father sees horned viper,father sees horned viper
near riverbank road,road near riverbank,road near riverbank
judges heart truth,truth judges heart,truth judges heart
change brings time,time brings change,time brings change
loves father child,father loves child,father loves child
/ power king he,he / king power,he / king power
beauty heart loves,heart loves beauty,heart loves beauty
order power gives,power gives order,power gives order
mouth drink eats,mouth eats drink,mouth eats drink
river lake behind,river behind lake,river behind lake
power forearm hand,forearm hand power,forearm hand power
life becomes great,life becomes great,life becomes great
near desert mountain,mountain near desert,mountain near desert
snake sees man,man sees snake,man sees snake
coil of father rope makes,father makes coil of rope,father makes coil of rope
loves old man god,god loves old man,god loves old man
gives woman life,woman gives life,woman gives life
king gives ring,king gives ring,king gives ring
west man sees old,old man sees west,old man sees west
pleases god offering,offering pleases god,offering pleases god
sees chisel man,man sees chisel,man sees chisel
sees man snake,man sees snake,man sees snake
sky town above,sky above town,sky above town
gives god peace,god gives peace,god gives peace
face / upon horizon,horizon face / upon,horizon face / upon
gives man chisel,man gives chisel,man gives chisel
papyrus scroll records,papyrus scroll records,papyrus scroll records
sees jar scribe,scribe sees jar,scribe sees jar
near temple river,temple near river,temple near river
land above horizon,horizon above land,horizon above land
underground ancestors holds,underground holds ancestors,underground holds ancestors
(djed) stability god gives,god gives stability (djed),god gives stability (djed)
(or / is exists temple found) opens,opens / exists (or is found) temple,opens / exists (or is found) temple
storm fear sky,storm fear sky,storm sky fear
house man enters,man enters house,man enters house
seated king god,king seated god,king seated god
