Input,Target,Prediction
hears mouth king voice people,king hears voice mouth people,king hears voice mouth people
brick town door shelter reed house city / gate bolt town,gate door bolt reed shelter brick house city / town town,gate door bolt reed shelter brick house city / town town
negation     /     beautiful     make     (no/not)     good     thing     do     heart     /     fear,negation (no/not) do / make thing beautiful / good heart fear,negation (no/not) do / make gate peace / satisfy heart
walk town road people to,people walk road to town,people walk road to town
god deity seated man woman people great temple seated,temple god deity seated man seated woman people great,temple god deity seated man seated woman people great
youth love / heart begets gives good beautiful mother birth /,mother gives birth / begets youth heart love beautiful / good,mother gives birth / begets youth heart love beautiful / good
star swallow god sky horizon emerges,god emerges horizon sky star swallow,god emerges horizon sky swallow star
authority thousand lord king every holds,king holds authority lord every thousand,king holds authority lord every thousand
stool vessel basket handle / ring with jar jar milk mat,stool / mat basket with handle ring vessel jar milk jar,stool / mat basket with handle ring vessel jar milk jar
/ woman woman seated mother youth good heart beautiful,beautiful / good woman youth seated woman mother heart,beautiful / good woman youth seated woman mother heart
lotus river lake plant swallow ripple owl water,lake river water ripple lotus plant swallow owl,lake river water ripple lotus plant swallow owl
heart / sweet example) drink / mouth (or speak eat / like as,mouth eat / drink / speak heart sweet like / as (or example),mouth eat / drink / speak heart sweet like / as (or example)
backbone forearm animal hand belly heart foot,hand forearm foot animal belly backbone heart,hand forearm foot animal belly backbone heart
make do temple to adze stone building brick chisel /,chisel adze to do / make stone brick temple building,chisel adze to do / make stone brick temple building
truth heart deity feather god ba maat,feather truth maat god deity heart ba,feather truth maat god deity heart ba
people deity god honor authority power,people honor god deity power authority,people honor god deity power authority
basket all) ring board do thing make (lord senet / hand / to,senet board ring basket (lord / all) thing to do / make hand,senet board ring basket (lord / all) thing to do / make hand
jar milk vessel altar rack / peace offering jar jars in,milk jar vessel jar jars in rack offering peace / altar,milk jar vessel jar jars in rack offering peace / altar
scroll write upon book papyrus scribe,scribe write book upon papyrus scroll,scribe write book upon papyrus scroll
west emerges sky horizon mountain god,god emerges sky horizon west mountain,god emerges sky horizon west mountain
the sees all god people,the god sees all people,the god sees all people
under people live open sky,people live under open sky,people live under open sky
ripple like lotus water example) / (or sweet plant as heart,heart sweet like / as (or example) lotus plant water ripple,heart sweet like / as (or example) lotus plant water ripple
authority ankh stability djed god power life,life ankh stability djed god authority power,life ankh stability djed god authority power
town god opens gate city house,god opens gate city town house,god opens gate house town city
rests reed mat man shelter,man rests reed shelter mat,man rests house mat reed shelter
hill man desert west walks road,man walks road desert hill west,man walks road desert hill west
holds king strength authority power,king holds power authority strength,king holds power authority strength
woman youth placenta gives life,woman gives life placenta youth,woman gives life placenta youth
life animal heart backbone desert hare belly,desert hare animal belly backbone heart life,desert hare animal belly backbone heart life
jar jars rack jar vessel jar milk in offering,jar jars in rack vessel jar milk jar offering,jar jars in rack vessel jar milk jar offering
peace / offering / satisfy loaf god conical deity every heart lord / (give),conical loaf (give) offering peace / satisfy heart god / deity lord / every,conical loaf (give) offering peace / satisfy heart god / deity lord / every
ba horizon watches soul sky god,god watches soul ba sky horizon,god watches soul ba sky horizon
god ba soul sky watches west,god watches soul ba sky west,god watches soul ba sky west
people     god     honor     offering     with,people honor god with offering,people honor god with offering
vessel stool handle in rack milk mat jars jar / with jar basket,jars in rack vessel jar milk jar basket with handle stool / mat,jars in rack vessel jar milk jar basket with handle stool / mat
as conical offering sweet loaf / (or (give) heart example) like / satisfy peace,conical loaf (give) offering peace / satisfy heart sweet like / as (or example),conical loaf (give) offering peace / satisfy heart sweet like / as (or example)
protects king town city people,king protects city town people,king protects city town people
(tills) man plows pellet / servant hoe sickle field grain cut,sickle cut grain / pellet field servant man hoe plows (tills),sickle cut grain / pellet field servant man hoe plows (tills)
youth good heart woman / seated mother woman beautiful,beautiful / good woman youth seated woman mother heart,beautiful / good woman youth seated woman mother heart
/ fox sedge king / strength three power he authority force skins king,three fox skins strength / force power authority king he / king sedge,three fox skins strength / force power authority king he / king sedge
sky hill mountain above star horizon desert,sky horizon star above mountain desert hill,sky horizon star above mountain desert hill
jar in milk vessel jar rack jars,jars in rack vessel jar milk jar,jars in rack vessel jar milk jar
do plow father field like man,man plow field like father do,man plow field like father do
desert belly animal hare become food,desert hare become food animal belly,desert hare become food animal belly
ring flax coil rope of thing tethering rope twisted rope,tethering rope coil of rope twisted flax rope ring thing,tethering rope coil of rope twisted flax ring thing
mountain desert fire storm sky hill above,storm fire above mountain desert hill sky,storm fire above mountain desert hill sky
ripple water river lotus swallow riverbank plant lake,river riverbank lake water ripple lotus plant swallow,river riverbank water ripple lotus plant lake swallow
become     horizon     emerge     scarab     ankh     star     life,become scarab emerge life ankh horizon star,become scarab emerge life ankh horizon star
river plant water ripple above lotus,river water ripple above lotus plant,river water ripple above lotus plant
milk mat jar handle jar / with stool vessel ring basket,stool / mat basket with handle ring vessel jar milk jar,stool / mat basket with handle ring vessel jar milk jar
king town rules people city power,king rules people city town power,king rules city town people power
papyrus clump people gather writing,people gather papyrus clump writing,people gather papyrus clump writing
star     sky     swallow     west     god     watches,god watches star sky swallow west,god watches star sky swallow west
water lake owl swallow plant river lotus ripple riverbank,river riverbank lake water ripple lotus plant swallow owl,river riverbank lake water ripple lotus plant swallow owl
force gives strength backbone god,god gives strength force backbone,god gives strength force backbone
