Input,Target,Prediction
life hear / servant heart / behind good back (ankh) listen beautiful thing /,servant hear / listen heart behind / back beautiful / good life (ankh) thing,servant hear / listen heart behind / back beautiful / good life (ankh) thing
mother venerated / father become sees youth as / marrow like,mother sees youth become venerated / marrow like / as father,mother sees youth become venerated / marrow like / as father
work people return after house,people return house after work,people return house after work
father man like plows as example) (or field / (tills),man plows (tills) field like / as (or example) father,man plows (tills) field like / as (or example) father
old teach youth wisdom man,old man teach youth wisdom,old man teach youth wisdom
of loaf servant sweet speak bread / eat drink / milk jar,servant eat / drink / speak milk jar sweet loaf of bread,servant eat / drink / speak milk jar sweet loaf of bread
carve man wood chisel tool,man carve wood tool chisel,man carve wood tool chisel
above basket handle house scribe with give to stone scroll papyrus town,scribe to give papyrus scroll above basket with handle town stone house,scribe to give papyrus scroll above basket with handle town stone house
soul pass gate after death,soul pass gate after death,soul pass gate after death
example) writing / papyrus / stool scroll scribe as scribe (or like,scribe writing / scribe papyrus scroll like / as (or example) stool,scribe writing / scribe papyrus scroll like / as (or example) stool
face / ka (ankh) give to upon (spirit) youth above life,ka (spirit) to give life (ankh) above face / upon youth,ka (spirit) to give life (ankh) above face / upon youth
youth become sees back venerated house / behind / mother marrow,mother sees youth become venerated / marrow behind / back house,mother sees youth become venerated / marrow behind / back house
riverbank behind plows / back field beautiful (tills) / good man,man plows (tills) field behind / back beautiful / good riverbank,man plows (tills) field behind / back beautiful / good riverbank
hear / upon / mighty listen authority great king / face scribe above,scribe hear / listen authority above face / upon great / mighty king,scribe hear / listen authority above face / upon great / mighty king
(ba) star horizon soul sky travel,soul (ba) travel sky star horizon,soul (ba) travel sky star horizon
king town descend mountain toward,king descend mountain toward town,king descend mountain toward town
sees / back / god strong mighty power / great behind deity city gate,god / deity sees strong power behind / back great / mighty gate city,god / deity sees strong power behind / back great / mighty gate city
/ milk of loaf drink (spirit) ka speak eat / bread,ka (spirit) eat / drink / speak loaf of bread milk,ka (spirit) eat / drink / speak loaf of bread milk
mountain hare road viper be) snake horned (to hill above desert,desert hare (to be) horned viper snake above hill mountain road,desert hare (to be) horned viper snake above hill mountain road
like example) all (or authority / / lord as hear listen servant /,servant hear / listen authority like / as (or example) lord / all,servant hear / listen authority like / as (or example) lord / all
gate town above house / sees mat senet board scribe stool,scribe sees senet board above stool / mat house town gate,scribe sees senet board above stool / mat house town gate
sees / / beautiful face god man deity truth behind back / upon,god / deity sees truth behind / back face / upon beautiful man,god / deity sees truth behind / back face / upon beautiful man
command bring servant king jar,king command servant bring jar,king command servant bring jar
god horizon above power life rise,god rise above horizon life power,god rise above horizon life power
adze above scribe / back stone chisel sees behind brick,scribe sees adze chisel above brick stone behind / back,scribe sees adze chisel above brick stone behind / back
king great good city beautiful sees / / town above riverbank,king sees great riverbank above beautiful / good city / town,king sees great riverbank above beautiful / good city / town
past man old youth remember,old man remember past youth,old man remember past youth
above / people door big / emerge gate city bolt great town,people emerge above gate door bolt city / town great / big,people emerge above gate door bolt city / town great / big
bolt house back sees door behind road scribe / town stone,scribe sees door bolt behind / back stone house town road,scribe sees door bolt behind / back stone house town road
city give king face upon power stability / to (djed) above,king to give stability (djed) power above face / upon city,king to give stability (djed) power above face / upon city
safely watch sleep mother child,mother watch child sleep safely,mother watch child sleep safely
/ retreat road west back to man slope mountain return / behind hill,man to return / retreat west mountain road behind / back hill slope,man to return / retreat west mountain road behind / back hill slope
lake sees father like / as above peace example) heart content (or (satisfied) plant river lotus /,father sees heart peace / content (satisfied) like / as (or example) lotus plant above lake river,father sees heart peace / content (satisfied) like / as (or example) lotus plant above lake river
old staff lean road man,old man lean staff road,old man lean staff road
king strength grant god force,god grant strength force king,god grant strength force king
back marrow / road stone great become house / youth temple mighty / venerated behind,youth become venerated / marrow behind / back great / mighty stone temple house road,youth become venerated / marrow behind / back great / mighty stone temple house road
west road gives / / birth town mat above mother stool house begets youth,mother gives birth / begets youth above stool / mat house town road west,mother gives birth / begets youth above stool / mat house town road west
birth youth above good begets house / stone / beautiful shelter gives mother reed,mother gives birth / begets youth above beautiful / good reed shelter house stone,mother gives birth / begets youth above beautiful / good reed shelter house stone
three behind stool scribe sees back / skins stone mat fox /,scribe sees three fox skins behind / back stone stool / mat,scribe sees three fox skins behind / back stone stool / mat
stone / old behind youth man become sees back mother house,mother sees youth become old man behind / back stone house,mother sees youth become old man behind / back stone house
man hear listen fear / owl night,man hear / listen owl night fear,man hear / listen owl night fear
king / life behind peace good / to give altar back beautiful (ankh) /,king to give life (ankh) behind / back beautiful / good peace / altar,king to give life (ankh) behind / back beautiful / good peace / altar
peace god above deity father satisfy (ba) heart / sees face soul upon /,father sees heart peace / satisfy soul (ba) above face / upon god deity,father sees heart peace / satisfy soul (ba) above face / upon god deity
life truth upon deity god face / / thing / heart beautiful good sees above,god / deity sees truth above face / upon beautiful / good heart life thing,god / deity sees truth above face / upon beautiful / good heart life thing
king (or hear / like listen as / example) great authority god,king hear / listen authority like / as (or example) great god,king hear / listen authority like / as (or example) great god
fear snake protect mother child,mother protect child fear snake,mother protect child fear snake
make / god do behind servant offering back jar / to vessel,servant to do / make offering jar vessel behind / back god,servant to do / make offering jar vessel behind / back god
be) (to man hill desert back emerge behind hare / sees,man sees desert hare (to be) emerge behind / back hill,man sees desert hare (to be) emerge behind / back hill
mark god fate years thousand,god mark fate thousand years,god mark fate thousand years
heart feather beautiful god / sees good (truth/maat) life above / / deity upon face,god / deity sees feather (truth/maat) above face / upon beautiful / good heart life,god / deity sees feather (truth/maat) above face / upon beautiful / good heart life
above king beautiful horizon sees house great / good stone,king sees great stone house above beautiful / good horizon,king sees great stone house above beautiful / good horizon
hear good town / man gate / listen / like beautiful example) authority servant as (or,servant hear / listen authority like / as (or example) beautiful / good man gate town,servant hear / listen authority like / as (or example) beautiful / good man gate town
house man back town door bolt sees / stone behind,man sees door bolt behind / back stone house town,man sees door bolt behind / back stone house town
to power give above god (djed) stability deity king / face,god / deity to give stability (djed) power above face king,god / deity to give stability (djed) power above face king
ripple wash vessel woman water,woman wash vessel water ripple,woman wash vessel water ripple
hear good listen above scribe / heart (ankh) beautiful thing / life,scribe hear / listen heart above beautiful / good life (ankh) thing,scribe hear / listen heart above beautiful / good life (ankh) thing
sky deity above god emerge (ba) soul horizon / sees,god / deity sees soul (ba) emerge above sky horizon,god / deity sees soul (ba) emerge above sky horizon
/ of milk eat bread speak loaf jar servant / drink vessel,servant eat / drink / speak loaf of bread milk jar vessel,servant eat / drink / speak loaf of bread milk jar vessel
mountain (to snake desert above hare viper be) horned hill slope,desert hare (to be) horned viper snake above hill slope mountain,desert hare (to be) horned viper snake above hill slope mountain
horizon star god place sky above,god place star sky above horizon,god place star sky above horizon
throne god power authority establish,god establish power authority throne,god establish power authority throne
temple throne back / behind seated / king above god king,king seated god / king above throne behind / back temple,king seated god / king above throne behind / back temple
marrow become / / stone venerated mighty road house behind / temple great back youth,youth become venerated / marrow behind / back great / mighty stone temple house road,youth become venerated / marrow behind / back great / mighty stone temple house road
/ / face / beautiful upon good above feather (truth/maat) deity youth sees god thing,god / deity sees feather (truth/maat) above face / upon beautiful / good youth thing,god / deity sees feather (truth/maat) above face / upon beautiful / good youth thing
milk loaf eat bread drink / speak house ka of sweet / (spirit),ka (spirit) eat / drink / speak loaf of bread milk sweet house,ka (spirit) eat / drink / speak loaf of bread milk sweet house
shelter back birth begets gives good mother / reed / youth behind / beautiful,mother gives birth / begets youth behind / back beautiful / good reed shelter,mother gives birth / begets youth behind / back beautiful / good reed shelter
man back above town god mountain / behind sees great,great god sees man above mountain behind / back town,great god sees man above mountain behind / back town
sees desert king mighty club mountain / force / hill above great strength,king sees strength / force above great / mighty club mountain desert hill,king sees strength / force above great / mighty club mountain desert hill
papyrus back / stone city scroll behind above scribe sees,scribe sees papyrus scroll above stone behind / back city,scribe sees papyrus scroll above stone behind / back city
father son teach hear listen,father teach son hear listen,father teach son hear listen
(ba) above star sky emerge soul horizon,soul (ba) emerge above horizon sky star,soul (ba) emerge above horizon sky star
youth swallow behind back sees lake / (great) above beautiful river,youth sees swallow (great) above lake behind / back beautiful river,youth sees swallow (great) above lake behind / back beautiful river
sweet house speak / eat / ka grain (spirit) / pellet drink stone,ka (spirit) eat / drink / speak sweet grain / pellet stone house,ka (spirit) eat / drink / speak sweet grain / pellet stone house
woman plant lotus sit riverbank,woman sit lotus plant riverbank,woman sit lotus plant riverbank
man stone build carry brick house,man carry brick stone build house,man carry brick stone build house
scribe writing behind do good beautiful / make back road / scribe riverbank / to /,scribe to do / make writing / scribe behind / back beautiful / good riverbank road,scribe to do / make writing / scribe behind / back beautiful / good riverbank road
tethering fasten rope animal man,man fasten tethering rope animal,man fasten tethering rope animal
road great bolt big gate town city / door city stone people house,people gate door bolt city town great / big house stone road city,people gate door bolt city town great / big house stone road city
people river cross by boat,people cross river by boat,people cross river by boat
/ lake plant back plant / river woman behind beautiful good sees above lotus,woman sees lotus plant above lake behind / back beautiful / good plant river,woman sees lotus plant above lake behind / back beautiful / good plant river
/ temple above scribe scribe / writing scroll papyrus mat stool book,scribe writing / scribe papyrus scroll book above stool / mat temple,scribe writing / scribe papyrus scroll book above stool / mat temple
three skins fox scribe stool / back sees mat behind /,scribe sees three fox skins behind / back stool / mat,scribe sees three fox skins behind / back stool / mat
ripple mother pour water jar,mother pour water ripple jar,mother pour water ripple jar
